,uporabnik,sigma
379,igor-primc,1.1333679558887149e+23
380,marko-divaca,2.635249153387079e+20
381,theresa-schoell,0.0
382,florian-gourgue,0.0
383,shimmy-webb,0.0
384,luis-funk-67682,0.0
385,matic-di-batista,0.0
386,sina-roller,0.0
387,sebastian-ziegler,0.0
388,jens-rohloff,0.0
389,max-friebertshaeuser-66287,0.0
390,thomas-stoll,7.378697629483821e+19
391,szymon-jarek,4.722366482869645e+21
392,michele-bort,0.0
393,lukasz-bolach,4.611686018427388e+18
394,luca-marzari,0.0
395,simon-e,0.0
396,henrik-koch,0.0
397,igor-cresnik,4.611686018427388e+18
398,michal-marines-lodzinski,2.951479051793528e+21
399,ben-pfeiffer,0.0
400,reffo-silvio,0.0
401,domenic-j,0.0
402,martin-bergant-44211,1.0743383748528443e+23
403,andreas-spitaler,0.0
404,anja-erbinek,3.022314549036573e+23
405,tobias-wolf,3.022314549036573e+23
406,stasa-gejo,2.2481969339833516e+19
407,tomasz-zajac-58808,3.2281802128991713e+18
408,grzegorz-sowa,1.844674407370955e+20
409,florian-essl,0.0
410,eni-malenica,4503599627370496.0
411,lara-kmoch,1.5143353747033293e+18
412,chiara-vescovo,0.0
413,roberto-red-crotta-99qtb,0.0
414,nicolas-azais,0.0
415,piotr-mierzejewski,2.8823037615171174e+17
416,fedir-samoilov,2.3980767295822417e+21
417,marta-stachurska,0.0
418,jagor-cakmak,1.0040024769284626e+18
419,nika-potapova,0.0
420,nino-jakic,0.0
421,gabriele-berardi,0.0
422,maksymilian-zieba-hs9kn,7.205759403792794e+16
423,marko-skoric,1.498797955988901e+19
424,jessica-pilz,0.0
425,julia-baran,0.0
426,verena-aigner,0.0
427,thomas-zeindl-70521,0.0
428,piotr-malczewski,0.0
429,jan-rumbold,0.0
430,michal-besler,0.0
431,olga-lotka,0.0
432,anton-agratina,0.0
433,bence-simon,1.3604807126286336e+16
434,natalia-fajfer,1.152921504606847e+18
435,rafal-bak,4.722366482869645e+21
436,dawid-grudzien,1.152921504606847e+18
437,gaber-avsec-64415,67108864.0
438,przemek-pa,1.152921504606847e+18
